0,AIOneName,AIOneDiff,AITwoName,AITwoDiff,WhoWentFirst,WinnerName,WinnerDiff,WinnerSymbol
1,AI_1,2,AI_2,2,0,TIE,N/A,N/A
2,AI_1,2,AI_2,2,0,TIE,N/A,N/A
3,AI_1,2,AI_2,0,1,TIE,N/A,N/A
4,AI_1,0,AI_2,0,1,AI_2,0,O
5,AI_1,0,AI_2,0,0,AI_2,0,O
6,AI_1,1,AI_2,0,0,AI_1,1,X
7,AI_1,2,AI_2,0,1,AI_2,0,O
8,AI_1,0,AI_2,2,1,AI_2,2,O
9,AI_1,2,AI_2,1,0,TIE,N/A,N/A
10,AI_1,1,AI_2,2,0,TIE,N/A,N/A
11,AI_1,2,AI_2,2,1,AI_2,2,O
12,AI_1,2,AI_2,1,1,TIE,N/A,N/A
13,AI_1,0,AI_2,0,0,AI_1,0,X
14,AI_1,1,AI_2,2,0,TIE,N/A,N/A
15,AI_1,1,AI_2,1,1,TIE,N/A,N/A
16,AI_1,1,AI_2,2,0,TIE,N/A,N/A
17,AI_1,2,AI_2,0,1,AI_1,2,X
18,AI_1,2,AI_2,0,1,AI_2,0,O
19,AI_1,1,AI_2,1,1,TIE,N/A,N/A
20,AI_1,2,AI_2,2,1,AI_2,2,O
21,AI_1,1,AI_2,0,0,AI_2,0,O
22,AI_1,0,AI_2,0,1,AI_2,0,O
23,AI_1,0,AI_2,2,1,AI_2,2,O
24,AI_1,1,AI_2,2,1,AI_2,2,O
25,AI_1,2,AI_2,1,0,TIE,N/A,N/A
26,AI_1,2,AI_2,2,0,TIE,N/A,N/A
27,AI_1,1,AI_2,0,1,AI_2,0,O
28,AI_1,2,AI_2,1,1,AI_1,2,X
29,AI_1,0,AI_2,2,1,AI_2,2,O
30,AI_1,0,AI_2,1,1,TIE,N/A,N/A
31,AI_1,2,AI_2,0,1,AI_1,2,X
32,AI_1,1,AI_2,2,0,TIE,N/A,N/A
33,AI_1,1,AI_2,1,0,TIE,N/A,N/A
34,AI_1,2,AI_2,1,0,TIE,N/A,N/A
35,AI_1,1,AI_2,0,0,AI_2,0,O
36,AI_1,0,AI_2,0,0,AI_1,0,X
37,AI_1,1,AI_2,2,1,AI_2,2,O
38,AI_1,1,AI_2,1,0,TIE,N/A,N/A
39,AI_1,1,AI_2,2,1,AI_2,2,O
40,AI_1,1,AI_2,1,1,TIE,N/A,N/A
41,AI_1,2,AI_2,1,1,TIE,N/A,N/A
42,AI_1,1,AI_2,1,0,TIE,N/A,N/A
43,AI_1,2,AI_2,1,1,TIE,N/A,N/A
44,AI_1,1,AI_2,1,1,TIE,N/A,N/A
